UNICEF Region,UNICEF Region Full,iso3,adm0_name,map_lab,adm0_altnm,adm0_id
ECARO,Europe and Central Asia Regional Office,TKM,Turkmenistan,Turkmenistan,NA,250
EAPRO,East Asia and Pacific Regional Office,TUV,Tuvalu,Tuvalu,NA,252
MENARO,Middle East North Africa Regional Office,ARE,United Arab Emirates,United Arab Emirates,NA,255
Non-PDC,Non-Program Document Country,GBR,United Kingdom of Great Britain & Northern Ireland,United Kingdom of Great Britain & Northern Ireland,United Kingdom,256
Non-PDC,Non-Program Document Country,VIR,United States Virgin Islands (USA),United States Virgin Islands (USA),NA,258
Non-PDC,Non-Program Document Country,USA,United States of America,United States of America,"United States, USA, US",259
LACRO,Latin America and Caribbean Regional Office,URY,Uruguay,Uruguay,NA,260
ECARO,Europe and Central Asia Regional Office,UZB,Uzbekistan,Uzbekistan,NA,261
LACRO,Latin America and Caribbean Regional Office,VEN,Venezuela,Venezuela,Venezuela (República Bolivariana de),263
EAPRO,East Asia and Pacific Regional Office,VNM,Viet Nam,Viet Nam,NA,264
Non-PDC,Non-Program Document Country,WLF,Wallis and Futuna,Wallis and Futuna (Fr.),NA,266
MENARO,Middle East North Africa Regional Office,ESH,Western Sahara,Western Sahara,NA,268
ESARO,East and Southern Africa Regional Office,ZWE,Zimbabwe,Zimbabwe,NA,271
EAPRO,East Asia and Pacific Regional Office,IDN,Indonesia,Indonesia,NA,272
EAPRO,East Asia and Pacific Regional Office,MMR,Myanmar,Myanmar,"Republic of the Union of Myanmar, Burma",273
EAPRO,East Asia and Pacific Regional Office,PNG,Papua New Guinea,Papua New Guinea,NA,274
EAPRO,East Asia and Pacific Regional Office,PHL,Philippines,Philippines,NA,275
EAPRO,East Asia and Pacific Regional Office,FJI,Fiji,Fiji,NA,276
EAPRO,East Asia and Pacific Regional Office,VUT,Vanuatu,Vanuatu,NA,277
WCARO,West and Central Africa Regional Office,SEN,Senegal,Senegal,NA,278
LACRO,Latin America and Caribbean Regional Office,CUB,Cuba,Cuba,NA,279
MENARO,Middle East North Africa Regional Office,SDN,Sudan,Sudan,NA,280
Non-PDC,Non-Program Document Country,HKG,Hong Kong,"Hong Kong, SAR China",NA,281
ESARO,East and Southern Africa Regional Office,SSD,Ilemi Triangle,NA,NA,286
ESARO,East and Southern Africa Regional Office,SSD,South Sudan,South Sudan,NA,287
Non-PDC,Non-Program Document Country,TWN,Taiwan,Taiwan,NA,288
Non-PDC,Non-Program Document Country,CUW,Curaçao,Curaçao (Neth.),NA,1005
Non-PDC,Non-Program Document Country,ESP,Canary Islands,Canary Is. (Sp.),NA,1006
LACRO,Latin America and Caribbean Regional Office,DMA,Dominica,Dominica,NA,289
Non-PDC,Non-Program Document Country,ALA,Åland Islands,Åland Islands (Fin.),NA,1000
Non-PDC,Non-Program Document Country,BES,Saba,Saba (Neth.),NA,1001
Non-PDC,Non-Program Document Country,BES,Sint Eustatius,Sint Eustatius (Neth.),NA,1002
Non-PDC,Non-Program Document Country,BES,Bonaire,Bonaire (Neth.),NA,1003
Non-PDC,Non-Program Document Country,MAF,Saint Martin,Saint Martin (Fr.),NA,1007
Non-PDC,Non-Program Document Country,PRT,Azores Islands,Azores Is. (Port.),NA,1008
Non-PDC,Non-Program Document Country,PRT,Madeira Islands,Madeira Islands (Port.),NA,1009
Non-PDC,Non-Program Document Country,SXM,Sint Maarten,Sint Maarten (Neth.),NA,1012
NA,#N/A,xFR,Glorioso Islands,Glorioso Islands (Fr.),NA,1013
Non-PDC,Non-Program Document Country,SHN,Saint Helena (Tristan da Cunha),Tristan da Cunha (UK),Tristan da Cunha,1019
ECARO,Europe and Central Asia Regional Office,MNE,Montenegro,Montenegro,NA,2647
ECARO,Europe and Central Asia Regional Office,SRB,Serbia,Serbia,NA,2648
NA,#N/A,xJL,Sovereignty unsettled,Sovereignty unsettled,NA,1014
NA,#N/A,xUK,Akrotiri,Akrotiri (S.B.A.),NA,1015
NA,#N/A,xUK,Dekelia,Dekelia (S.B.A.),NA,1016
Non-PDC,Non-Program Document Country,SHN,Saint Helena (Gough),Gough (UK),Gough,1017
Non-PDC,Non-Program Document Country,SHN,Saint Helena,Saint Helena (UK),Saint Helena,1018
Non-PDC,Non-Program Document Country,RUS,Russian Federation,Russian Federation,NA,204
LACRO,Latin America and Caribbean Regional Office,COL,Colombia,Colombia,NA,57
ESARO,East and Southern Africa Regional Office,RWA,Rwanda,Rwanda,NA,205
ESARO,East and Southern Africa Regional Office,TZA,United Republic of Tanzania,United Republic of Tanzania,Tanzania,257
WCARO,West and Central Africa Regional Office,COD,Democratic Republic of the Congo,Democratic Republic of the Congo,République Démocratique du Congo,68
ESARO,East and Southern Africa Regional Office,UGA,Uganda,Uganda,NA,253
ESARO,East and Southern Africa Regional Office,MWI,Malawi,Malawi,NA,152
ESARO,East and Southern Africa Regional Office,ZMB,Zambia,Zambia,NA,270
WCARO,West and Central Africa Regional Office,CMR,Cameroon,Cameroon,NA,45
WCARO,West and Central Africa Regional Office,TCD,Chad,Chad,NA,50
WCARO,West and Central Africa Regional Office,CAF,Central African Republic,Central African Republic,NA,49
WCARO,West and Central Africa Regional Office,COG,Congo,Congo,NA,59
WCARO,West and Central Africa Regional Office,NGA,Nigeria,Nigeria,NA,182
WCARO,West and Central Africa Regional Office,BEN,Benin,Benin,NA,29
ESARO,East and Southern Africa Regional Office,COM,Comoros,Comoros,NA,58
ROSA,Regional Office of South Asia,IND,India,India,NA,115
MENARO,Middle East North Africa Regional Office,DZA,Algeria,Algeria,NA,4
ECARO,Europe and Central Asia Regional Office,ARM,Armenia,Armenia,NA,13
MENARO,Middle East North Africa Regional Office,IRN,Iran (Islamic Republic of),Iran (Islamic Republic of),Iran,117
MENARO,Middle East North Africa Regional Office,IRQ,Iraq,Iraq,NA,118
MENARO,Middle East North Africa Regional Office,JOR,Jordan,Jordan,NA,130
MENARO,Middle East North Africa Regional Office,LBN,Lebanon,Lebanon,NA,141
MENARO,Middle East North Africa Regional Office,LBY,Libya,Libya,NA,145
MENARO,Middle East North Africa Regional Office,SYR,Syrian Arab Republic,Syrian Arab Republic,Syria,238
ECARO,Europe and Central Asia Regional Office,TUR,Republic of Türkiye,Republic of Türkiye,"Türkiye, Turkey, Republic of Turkey",249
ECARO,Europe and Central Asia Regional Office,UKR,Ukraine,Ukraine,"Україна, Украина",254
MENARO,Middle East North Africa Regional Office,YEM,Yemen,Yemen,NA,269
MENARO,Middle East North Africa Regional Office,EGY,Bi'r Tawīl,NA,Bir Tawil,283
MENARO,Middle East North Africa Regional Office,EGY,Egypt,Egypt,NA,284
MENARO,Middle East North Africa Regional Office,PSE,State of Palestine,State of Palestine,NA,3000
MENARO,Middle East North Africa Regional Office,TUN,Tunisia,Tunisia,NA,248
MENARO,Middle East North Africa Regional Office,SDN,Hala'ib Triangle,NA,NA,282
ECARO,Europe and Central Asia Regional Office,MDA,Moldova,Moldova,NA,165
MENARO,Middle East North Africa Regional Office,DJI,Djibouti,Djibouti,NA,70
